"sample_id","core_module","competitor_module","residual","residual_positive_samples","gate","core_label","competitor_label"
"SRS6155882","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.015974135110227,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155883","integrin_focal_adhesion","inflammation_ap1_nfkb",0.0158527632600136,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155884","integrin_focal_adhesion","inflammation_ap1_nfkb",0.0728531998562088,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155885","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.00385094976921386,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155886","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.0135070836017473,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155887","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.0108571415229239,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155888","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.00814545395659121,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155889","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.0003950858079285,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155890","integrin_focal_adhesion","inflammation_ap1_nfkb",-0.0162242548731809,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155891","integrin_focal_adhesion","inflammation_ap1_nfkb",0.0275030121934128,3,"Fail","Integrin/focal adhesion","Inflammation/AP-1/NF-kB"
"SRS6155880","integrin_focal_adhesion","hypoxia",-0.0228797771331256,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155881","integrin_focal_adhesion","hypoxia",-0.0764114491876419,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155882","integrin_focal_adhesion","hypoxia",0.0470322161436476,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155883","integrin_focal_adhesion","hypoxia",0.0180420425232198,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155884","integrin_focal_adhesion","hypoxia",0.0157812063982431,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155885","integrin_focal_adhesion","hypoxia",-0.028574085048516,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155886","integrin_focal_adhesion","hypoxia",-0.0202339575479908,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155887","integrin_focal_adhesion","hypoxia",-0.00446849503180532,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155888","integrin_focal_adhesion","hypoxia",-0.0134879023555092,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155889","integrin_focal_adhesion","hypoxia",-0.00650670595670589,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155890","integrin_focal_adhesion","hypoxia",1.25435391969183e-05,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155891","integrin_focal_adhesion","hypoxia",0.0916943636569873,5,"Fail","Integrin/focal adhesion","Hypoxia"
"SRS6155880","integrin_focal_adhesion","cell_cycle",-0.0280793863848503,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155881","integrin_focal_adhesion","cell_cycle",-0.0315308790713741,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155882","integrin_focal_adhesion","cell_cycle",0.0128878526800831,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155883","integrin_focal_adhesion","cell_cycle",0.0364711899550237,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155884","integrin_focal_adhesion","cell_cycle",0.00117587135196873,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155885","integrin_focal_adhesion","cell_cycle",0.0256540150764248,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155886","integrin_focal_adhesion","cell_cycle",-0.0509370321039775,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155887","integrin_focal_adhesion","cell_cycle",-0.0108800069276027,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155888","integrin_focal_adhesion","cell_cycle",-0.0142327124595057,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155889","integrin_focal_adhesion","cell_cycle",0.00750672828403749,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155890","integrin_focal_adhesion","cell_cycle",-0.019737612554932,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155891","integrin_focal_adhesion","cell_cycle",0.0717019721547045,6,"Fail","Integrin/focal adhesion","Cell cycle"
"SRS6155880","actomyosin_rho","ecm_remodeling",-0.0856555593611327,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155881","actomyosin_rho","ecm_remodeling",0.0497937013899259,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155882","actomyosin_rho","ecm_remodeling",0.0750709411257073,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155883","actomyosin_rho","ecm_remodeling",0.0543085488844564,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155884","actomyosin_rho","ecm_remodeling",0.0224814177552046,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155885","actomyosin_rho","ecm_remodeling",-0.126816505326458,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155886","actomyosin_rho","ecm_remodeling",-0.0659054453678268,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155887","actomyosin_rho","ecm_remodeling",0.0213032161398819,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155888","actomyosin_rho","ecm_remodeling",0.0417954935764709,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155889","actomyosin_rho","ecm_remodeling",0.0137336784115992,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155890","actomyosin_rho","ecm_remodeling",0.0217415895703898,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155891","actomyosin_rho","ecm_remodeling",-0.021851076798219,8,"Pass","Actomyosin/Rho","ECM remodeling"
"SRS6155880","actomyosin_rho","tgf_fibrosis",-0.143882284983244,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155881","actomyosin_rho","tgf_fibrosis",0.028227376337382,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155882","actomyosin_rho","tgf_fibrosis",0.0570073752107486,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155883","actomyosin_rho","tgf_fibrosis",0.0302349498663036,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155884","actomyosin_rho","tgf_fibrosis",0.0645027606635693,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155885","actomyosin_rho","tgf_fibrosis",-0.097045710552038,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155886","actomyosin_rho","tgf_fibrosis",-0.10604523991741,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155887","actomyosin_rho","tgf_fibrosis",-0.00286929094885869,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155888","actomyosin_rho","tgf_fibrosis",0.031647739892102,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155889","actomyosin_rho","tgf_fibrosis",0.00658058194144641,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155890","actomyosin_rho","tgf_fibrosis",0.045506230268258,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155891","actomyosin_rho","tgf_fibrosis",0.0861355122217407,8,"Pass","Actomyosin/Rho","TGF/fibrosis"
"SRS6155880","actomyosin_rho","inflammation_ap1_nfkb",-0.118227706750982,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155881","actomyosin_rho","inflammation_ap1_nfkb",0.0683500005353032,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155882","actomyosin_rho","inflammation_ap1_nfkb",0.0153139801517715,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155883","actomyosin_rho","inflammation_ap1_nfkb",0.0421977506872604,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155884","actomyosin_rho","inflammation_ap1_nfkb",0.0920964544007829,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155885","actomyosin_rho","inflammation_ap1_nfkb",-0.0881802422793675,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155886","actomyosin_rho","inflammation_ap1_nfkb",-0.0969655877340086,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155887","actomyosin_rho","inflammation_ap1_nfkb",0.000637213891871682,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155888","actomyosin_rho","inflammation_ap1_nfkb",0.0479594065788079,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155889","actomyosin_rho","inflammation_ap1_nfkb",0.00237785253212187,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155890","actomyosin_rho","inflammation_ap1_nfkb",0.0279053409806161,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155891","actomyosin_rho","inflammation_ap1_nfkb",0.00653553700582245,9,"Pass","Actomyosin/Rho","Inflammation/AP-1/NF-kB"
"SRS6155880","actomyosin_rho","hypoxia",-0.130590145245561,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155881","actomyosin_rho","hypoxia",0.0275309141391655,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155882","actomyosin_rho","hypoxia",0.0806864657397896,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155883","actomyosin_rho","hypoxia",0.044937882212731,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155884","actomyosin_rho","hypoxia",0.0322950540923954,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155885","actomyosin_rho","hypoxia",-0.114341071369863,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155886","actomyosin_rho","hypoxia",-0.103503559281172,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155887","actomyosin_rho","hypoxia",0.00750771392781071,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155888","actomyosin_rho","hypoxia",0.0425979608660147,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155889","actomyosin_rho","hypoxia",-0.00407151600357753,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155890","actomyosin_rho","hypoxia",0.0447094965163244,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155891","actomyosin_rho","hypoxia",0.0722408044059425,8,"Pass","Actomyosin/Rho","Hypoxia"
"SRS6155880","actomyosin_rho","cell_cycle",-0.137398072438097,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155881","actomyosin_rho","cell_cycle",0.0635226274196009,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155882","actomyosin_rho","cell_cycle",0.0506963735641588,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155883","actomyosin_rho","cell_cycle",0.0566176164125672,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155884","actomyosin_rho","cell_cycle",0.0270850894088328,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155885","actomyosin_rho","cell_cycle",-0.0676758783189396,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155886","actomyosin_rho","cell_cycle",-0.129733546379096,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155887","actomyosin_rho","cell_cycle",0.000783023396654658,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155888","actomyosin_rho","cell_cycle",0.0412575158646527,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155889","actomyosin_rho","cell_cycle",0.00784091827694226,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155890","actomyosin_rho","cell_cycle",0.0286357804989873,9,"Pass","Actomyosin/Rho","Cell cycle"
"SRS6155891","actomyosin_rho","cell_cycle",0.0583685522937364,9,"Pass","Actomyosin/Rho","Cell cycle"
