"source_accession","gsm_accession","title","source_name","organism","characteristics","library_strategy","supplementary_file","all_metadata_text","donor_like","fibroblast_like","single_cell_like","disease_or_control_like"
"GSE228421","GSM7120462","P4-V1 Non Lesional","Skin biopsy","Homo sapiens","tissue: Skin biopsy | disease state: Baseline Non Lesional Psoriasis Skin","RNA-Seq","","channel_count=1 | characteristics_ch1=tissue: Skin biopsy | disease state: Baseline Non Lesional Psoriasis Skin | contact_address=Guy's Hospital, Great Maze Pond | contact_city=London | contact_country=United Kingdom | contact_email=luc.francis@kcl.ac.uk | contact_institute=King's College London | contact_name=Luc,,Francis | contact_zip/postal_code=SE1 9RT | data_processing=Sequencing output files were demultiplexed and coverted to fastq files using Cell Ranger v4.0.0 to v6.1.1 (10X genomics). | Cell Ranger was used to align demultiplexed reads to the reference genome, barcode counting, UMI counting and estimate the number of cells. | Assembly: Reference Genome GRCH38-2020-A | Supplementary files format and content: For each sample there are three associated files: tab-seperated values file containing barcdoes, tab-separated file containing annotated genes (features), matrix file containing UMI counts and indices for the barcode and gene tsv files | data_row_count=0 | extract_protocol_ch1=Skin biopsies were separated into dermis and epidermis. Single cell dissociation was performed. An equal number of dermis and epidermis cells were collected for analysis. | Libraries were prepared using the Chromium 10X Single Cell 3' reagent Kit v2, according to the manufacturer's instructions | geo_accession=GSM7120462 | instrument_model=NextSeq 2000 | last_update_date=Dec 15 2023 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL30173 | series_id=GSE228421 | source_name_ch1=Skin biopsy | status=Public on Dec 15 2023 | submission_date=Mar 28 2023 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120462/suppl/GSM7120462_P4_V1_NL.barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120462/suppl/GSM7120462_P4_V1_NL.features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120462/suppl/GSM7120462_P4_V1_NL.matrix.mtx.gz | taxid_ch1=9606 | title=P4-V1 Non Lesional | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE228421","GSM7120463","P4-V2 Lesional","Skin biopsy","Homo sapiens","tissue: Skin biopsy | disease state: Day 3 Lesional Psoriasis Skin","RNA-Seq","","channel_count=1 | characteristics_ch1=tissue: Skin biopsy | disease state: Day 3 Lesional Psoriasis Skin | contact_address=Guy's Hospital, Great Maze Pond | contact_city=London | contact_country=United Kingdom | contact_email=luc.francis@kcl.ac.uk | contact_institute=King's College London | contact_name=Luc,,Francis | contact_zip/postal_code=SE1 9RT | data_processing=Sequencing output files were demultiplexed and coverted to fastq files using Cell Ranger v4.0.0 to v6.1.1 (10X genomics). | Cell Ranger was used to align demultiplexed reads to the reference genome, barcode counting, UMI counting and estimate the number of cells. | Assembly: Reference Genome GRCH38-2020-A | Supplementary files format and content: For each sample there are three associated files: tab-seperated values file containing barcdoes, tab-separated file containing annotated genes (features), matrix file containing UMI counts and indices for the barcode and gene tsv files | data_row_count=0 | extract_protocol_ch1=Skin biopsies were separated into dermis and epidermis. Single cell dissociation was performed. An equal number of dermis and epidermis cells were collected for analysis. | Libraries were prepared using the Chromium 10X Single Cell 3' reagent Kit v2, according to the manufacturer's instructions | geo_accession=GSM7120463 | instrument_model=NextSeq 2000 | last_update_date=Dec 15 2023 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL30173 | series_id=GSE228421 | source_name_ch1=Skin biopsy | status=Public on Dec 15 2023 | submission_date=Mar 28 2023 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120463/suppl/GSM7120463_P4_V2_L.barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120463/suppl/GSM7120463_P4_V2_L.features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120463/suppl/GSM7120463_P4_V2_L.matrix.mtx.gz | taxid_ch1=9606 | title=P4-V2 Lesional | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE228421","GSM7120464","P4-V3 Lesional","Skin biopsy","Homo sapiens","tissue: Skin biopsy | disease state: Day 14 Lesional Psoriasis Skin","RNA-Seq","","channel_count=1 | characteristics_ch1=tissue: Skin biopsy | disease state: Day 14 Lesional Psoriasis Skin | contact_address=Guy's Hospital, Great Maze Pond | contact_city=London | contact_country=United Kingdom | contact_email=luc.francis@kcl.ac.uk | contact_institute=King's College London | contact_name=Luc,,Francis | contact_zip/postal_code=SE1 9RT | data_processing=Sequencing output files were demultiplexed and coverted to fastq files using Cell Ranger v4.0.0 to v6.1.1 (10X genomics). | Cell Ranger was used to align demultiplexed reads to the reference genome, barcode counting, UMI counting and estimate the number of cells. | Assembly: Reference Genome GRCH38-2020-A | Supplementary files format and content: For each sample there are three associated files: tab-seperated values file containing barcdoes, tab-separated file containing annotated genes (features), matrix file containing UMI counts and indices for the barcode and gene tsv files | data_row_count=0 | extract_protocol_ch1=Skin biopsies were separated into dermis and epidermis. Single cell dissociation was performed. An equal number of dermis and epidermis cells were collected for analysis. | Libraries were prepared using the Chromium 10X Single Cell 3' reagent Kit v2, according to the manufacturer's instructions | geo_accession=GSM7120464 | instrument_model=NextSeq 2000 | last_update_date=Dec 15 2023 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL30173 | series_id=GSE228421 | source_name_ch1=Skin biopsy | status=Public on Dec 15 2023 | submission_date=Mar 28 2023 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120464/suppl/GSM7120464_P4_V3_L.barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120464/suppl/GSM7120464_P4_V3_L.features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120464/suppl/GSM7120464_P4_V3_L.matrix.mtx.gz | taxid_ch1=9606 | title=P4-V3 Lesional | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE228421","GSM7120465","P5-V1 Lesional","Skin biopsy","Homo sapiens","tissue: Skin biopsy | disease state: Baseline Lesional Psoriasis Skin","RNA-Seq","","channel_count=1 | characteristics_ch1=tissue: Skin biopsy | disease state: Baseline Lesional Psoriasis Skin | contact_address=Guy's Hospital, Great Maze Pond | contact_city=London | contact_country=United Kingdom | contact_email=luc.francis@kcl.ac.uk | contact_institute=King's College London | contact_name=Luc,,Francis | contact_zip/postal_code=SE1 9RT | data_processing=Sequencing output files were demultiplexed and coverted to fastq files using Cell Ranger v4.0.0 to v6.1.1 (10X genomics). | Cell Ranger was used to align demultiplexed reads to the reference genome, barcode counting, UMI counting and estimate the number of cells. | Assembly: Reference Genome GRCH38-2020-A | Supplementary files format and content: For each sample there are three associated files: tab-seperated values file containing barcdoes, tab-separated file containing annotated genes (features), matrix file containing UMI counts and indices for the barcode and gene tsv files | data_row_count=0 | extract_protocol_ch1=Skin biopsies were separated into dermis and epidermis. Single cell dissociation was performed. An equal number of dermis and epidermis cells were collected for analysis. | Libraries were prepared using the Chromium 10X Single Cell 3' reagent Kit v2, according to the manufacturer's instructions | geo_accession=GSM7120465 | instrument_model=NextSeq 2000 | last_update_date=Dec 15 2023 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL30173 | series_id=GSE228421 | source_name_ch1=Skin biopsy | status=Public on Dec 15 2023 | submission_date=Mar 28 2023 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120465/suppl/GSM7120465_P5_V1_L.barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120465/suppl/GSM7120465_P5_V1_L.features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120465/suppl/GSM7120465_P5_V1_L.matrix.mtx.gz | taxid_ch1=9606 | title=P5-V1 Lesional | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE228421","GSM7120466","P5-V1 Non Lesional","Skin biopsy","Homo sapiens","tissue: Skin biopsy | disease state: Baseline Non Lesional Psoriasis Skin","RNA-Seq","","channel_count=1 | characteristics_ch1=tissue: Skin biopsy | disease state: Baseline Non Lesional Psoriasis Skin | contact_address=Guy's Hospital, Great Maze Pond | contact_city=London | contact_country=United Kingdom | contact_email=luc.francis@kcl.ac.uk | contact_institute=King's College London | contact_name=Luc,,Francis | contact_zip/postal_code=SE1 9RT | data_processing=Sequencing output files were demultiplexed and coverted to fastq files using Cell Ranger v4.0.0 to v6.1.1 (10X genomics). | Cell Ranger was used to align demultiplexed reads to the reference genome, barcode counting, UMI counting and estimate the number of cells. | Assembly: Reference Genome GRCH38-2020-A | Supplementary files format and content: For each sample there are three associated files: tab-seperated values file containing barcdoes, tab-separated file containing annotated genes (features), matrix file containing UMI counts and indices for the barcode and gene tsv files | data_row_count=0 | extract_protocol_ch1=Skin biopsies were separated into dermis and epidermis. Single cell dissociation was performed. An equal number of dermis and epidermis cells were collected for analysis. | Libraries were prepared using the Chromium 10X Single Cell 3' reagent Kit v2, according to the manufacturer's instructions | geo_accession=GSM7120466 | instrument_model=NextSeq 2000 | last_update_date=Dec 15 2023 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL30173 | series_id=GSE228421 | source_name_ch1=Skin biopsy | status=Public on Dec 15 2023 | submission_date=Mar 28 2023 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120466/suppl/GSM7120466_P5_V1_NL.barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120466/suppl/GSM7120466_P5_V1_NL.features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120466/suppl/GSM7120466_P5_V1_NL.matrix.mtx.gz | taxid_ch1=9606 | title=P5-V1 Non Lesional | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE228421","GSM7120467","P5-V2 Lesional","Skin biopsy","Homo sapiens","tissue: Skin biopsy | disease state: Day 3 Lesional Psoriasis Skin","RNA-Seq","","channel_count=1 | characteristics_ch1=tissue: Skin biopsy | disease state: Day 3 Lesional Psoriasis Skin | contact_address=Guy's Hospital, Great Maze Pond | contact_city=London | contact_country=United Kingdom | contact_email=luc.francis@kcl.ac.uk | contact_institute=King's College London | contact_name=Luc,,Francis | contact_zip/postal_code=SE1 9RT | data_processing=Sequencing output files were demultiplexed and coverted to fastq files using Cell Ranger v4.0.0 to v6.1.1 (10X genomics). | Cell Ranger was used to align demultiplexed reads to the reference genome, barcode counting, UMI counting and estimate the number of cells. | Assembly: Reference Genome GRCH38-2020-A | Supplementary files format and content: For each sample there are three associated files: tab-seperated values file containing barcdoes, tab-separated file containing annotated genes (features), matrix file containing UMI counts and indices for the barcode and gene tsv files | data_row_count=0 | extract_protocol_ch1=Skin biopsies were separated into dermis and epidermis. Single cell dissociation was performed. An equal number of dermis and epidermis cells were collected for analysis. | Libraries were prepared using the Chromium 10X Single Cell 3' reagent Kit v2, according to the manufacturer's instructions | geo_accession=GSM7120467 | instrument_model=NextSeq 2000 | last_update_date=Dec 15 2023 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL30173 | series_id=GSE228421 | source_name_ch1=Skin biopsy | status=Public on Dec 15 2023 | submission_date=Mar 28 2023 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120467/suppl/GSM7120467_P5_V2_L.barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120467/suppl/GSM7120467_P5_V2_L.features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120467/suppl/GSM7120467_P5_V2_L.matrix.mtx.gz | taxid_ch1=9606 | title=P5-V2 Lesional | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE228421","GSM7120468","P5-V3 Lesional","Skin biopsy","Homo sapiens","tissue: Skin biopsy | disease state: Day 14 Lesional Psoriasis Skin","RNA-Seq","","channel_count=1 | characteristics_ch1=tissue: Skin biopsy | disease state: Day 14 Lesional Psoriasis Skin | contact_address=Guy's Hospital, Great Maze Pond | contact_city=London | contact_country=United Kingdom | contact_email=luc.francis@kcl.ac.uk | contact_institute=King's College London | contact_name=Luc,,Francis | contact_zip/postal_code=SE1 9RT | data_processing=Sequencing output files were demultiplexed and coverted to fastq files using Cell Ranger v4.0.0 to v6.1.1 (10X genomics). | Cell Ranger was used to align demultiplexed reads to the reference genome, barcode counting, UMI counting and estimate the number of cells. | Assembly: Reference Genome GRCH38-2020-A | Supplementary files format and content: For each sample there are three associated files: tab-seperated values file containing barcdoes, tab-separated file containing annotated genes (features), matrix file containing UMI counts and indices for the barcode and gene tsv files | extract_protocol_ch1=Skin biopsies were separated into dermis and epidermis. Single cell dissociation was performed. An equal number of dermis and epidermis cells were collected for analysis. | Libraries were prepared using the Chromium 10X Single Cell 3' reagent Kit v2, according to the manufacturer's instructions | geo_accession=GSM7120468 | instrument_model=NextSeq 2000 | last_update_date=Dec 15 2023 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=total RNA | organism_ch1=Homo sapiens | platform_id=GPL30173 | series_id=GSE228421 | source_name_ch1=Skin biopsy | status=Public on Dec 15 2023 | submission_date=Mar 28 2023 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120468/suppl/GSM7120468_P5_V3_L.barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120468/suppl/GSM7120468_P5_V3_L.features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120468/suppl/GSM7120468_P5_V3_L.matrix.mtx.gz | taxid_ch1=9606 | title=P5-V3 Lesional | type=SRA",TRUE,FALSE,TRUE,TRUE
"GSE181316","GSM5494683","skin_7","healthy skin","Homo sapiens","site: abdomen | Sex: male | age: 33 | race: caucasian","RNA-Seq","","channel_count=1 | characteristics_ch1=site: abdomen | Sex: male | age: 33 | race: caucasian | contact_address=Lazarettgasse 14 | contact_city=Vienna | contact_country=Austria | contact_department=Orthopedic and Trauma Surgery | contact_email=martin.direder@meduniwien.ac.at | contact_institute=Medical University Vienna | contact_laboratory=Mildner | contact_name=Martin,,Direder | contact_state=Vienna | contact_zip/postal_code=1090 | data_processing=Raw sequencing data were demultiplexed, aligned to a reference genome and counted using Cell Ranger (version 3.0.2; except 5.0.1 [skin_7]; 10x Genomics). | Genome_build: GrCh38 | Supplementary_files_format_and_content: tsv files contain lists of genes and barcodes for each sample, mtx files count gene UMI counts for each sample | data_row_count=0 | description=Single-cell RNAseq data | extract_protocol_ch1=6mm tissue-biopsies were dissociated using MACS Miltenyi Whole Skin Dissociation Kit (Miltenyi) | libraries were prepared using Chromium Next GEM Single Cell 3´GEM, Library & Gel Bead Kit v3.1, Chromium Nexxt GEM Chip G Single Cell Kit and Single Index Kit T Set A (all 19x Genomics, Pleasanton, CA, USA) | geo_accession=GSM5494683 | instrument_model=Illumina HiSeq 4000 | last_update_date=Mar 16 2022 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=polyA RNA | organism_ch1=Homo sapiens | platform_id=GPL20301 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20521358 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11628955 | series_id=GSE181316 | source_name_ch1=healthy skin | status=Public on Mar 16 2022 | submission_date=Aug 02 2021 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494683/suppl/GSM5494683_skin_7_barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494683/suppl/GSM5494683_skin_7_features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494683/suppl/GSM5494683_skin_7_matrix.mtx.gz | taxid_ch1=9606 | title=skin_7 | type=SRA",FALSE,FALSE,TRUE,TRUE
"GSE181316","GSM5494684","keloid_1","keloid","Homo sapiens","site: sternum | Sex: female | age: 36 | race: caucasian","RNA-Seq","","channel_count=1 | characteristics_ch1=site: sternum | Sex: female | age: 36 | race: caucasian | contact_address=Lazarettgasse 14 | contact_city=Vienna | contact_country=Austria | contact_department=Orthopedic and Trauma Surgery | contact_email=martin.direder@meduniwien.ac.at | contact_institute=Medical University Vienna | contact_laboratory=Mildner | contact_name=Martin,,Direder | contact_state=Vienna | contact_zip/postal_code=1090 | data_processing=Raw sequencing data were demultiplexed, aligned to a reference genome and counted using Cell Ranger (version 3.0.2; except 5.0.1 [skin_7]; 10x Genomics). | Genome_build: GrCh38 | Supplementary_files_format_and_content: tsv files contain lists of genes and barcodes for each sample, mtx files count gene UMI counts for each sample | data_row_count=0 | description=Single-cell RNAseq data | extract_protocol_ch1=6mm tissue-biopsies were dissociated using MACS Miltenyi Whole Skin Dissociation Kit (Miltenyi) | libraries were prepared using Chromium Next GEM Single Cell 3´GEM, Library & Gel Bead Kit v3.1, Chromium Nexxt GEM Chip G Single Cell Kit and Single Index Kit T Set A (all 19x Genomics, Pleasanton, CA, USA) | geo_accession=GSM5494684 | instrument_model=Illumina HiSeq 4000 | last_update_date=Mar 16 2022 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=polyA RNA | organism_ch1=Homo sapiens | platform_id=GPL20301 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20521359 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11628956 | series_id=GSE181316 | source_name_ch1=keloid | status=Public on Mar 16 2022 | submission_date=Aug 02 2021 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494684/suppl/GSM5494684_keloid_1_barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494684/suppl/GSM5494684_keloid_1_features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494684/suppl/GSM5494684_keloid_1_matrix.mtx.gz | taxid_ch1=9606 | title=keloid_1 | type=SRA",FALSE,FALSE,TRUE,TRUE
"GSE181316","GSM5494685","keloid_2","keloid","Homo sapiens","site: earlobe | Sex: female | age: 60 | race: african","RNA-Seq","","channel_count=1 | characteristics_ch1=site: earlobe | Sex: female | age: 60 | race: african | contact_address=Lazarettgasse 14 | contact_city=Vienna | contact_country=Austria | contact_department=Orthopedic and Trauma Surgery | contact_email=martin.direder@meduniwien.ac.at | contact_institute=Medical University Vienna | contact_laboratory=Mildner | contact_name=Martin,,Direder | contact_state=Vienna | contact_zip/postal_code=1090 | data_processing=Raw sequencing data were demultiplexed, aligned to a reference genome and counted using Cell Ranger (version 3.0.2; except 5.0.1 [skin_7]; 10x Genomics). | Genome_build: GrCh38 | Supplementary_files_format_and_content: tsv files contain lists of genes and barcodes for each sample, mtx files count gene UMI counts for each sample | data_row_count=0 | description=Single-cell RNAseq data | extract_protocol_ch1=6mm tissue-biopsies were dissociated using MACS Miltenyi Whole Skin Dissociation Kit (Miltenyi) | libraries were prepared using Chromium Next GEM Single Cell 3´GEM, Library & Gel Bead Kit v3.1, Chromium Nexxt GEM Chip G Single Cell Kit and Single Index Kit T Set A (all 19x Genomics, Pleasanton, CA, USA) | geo_accession=GSM5494685 | instrument_model=Illumina HiSeq 4000 | last_update_date=Mar 16 2022 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=polyA RNA | organism_ch1=Homo sapiens | platform_id=GPL20301 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20521360 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11628957 | series_id=GSE181316 | source_name_ch1=keloid | status=Public on Mar 16 2022 | submission_date=Aug 02 2021 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494685/suppl/GSM5494685_keloid_2_barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494685/suppl/GSM5494685_keloid_2_features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494685/suppl/GSM5494685_keloid_2_matrix.mtx.gz | taxid_ch1=9606 | title=keloid_2 | type=SRA",FALSE,FALSE,TRUE,TRUE
"GSE181316","GSM5494686","keloid_3L","keloid","Homo sapiens","site: earlobe - left | Sex: male | age: 34 | race: caucasian","RNA-Seq","","channel_count=1 | characteristics_ch1=site: earlobe - left | Sex: male | age: 34 | race: caucasian | contact_address=Lazarettgasse 14 | contact_city=Vienna | contact_country=Austria | contact_department=Orthopedic and Trauma Surgery | contact_email=martin.direder@meduniwien.ac.at | contact_institute=Medical University Vienna | contact_laboratory=Mildner | contact_name=Martin,,Direder | contact_state=Vienna | contact_zip/postal_code=1090 | data_processing=Raw sequencing data were demultiplexed, aligned to a reference genome and counted using Cell Ranger (version 3.0.2; except 5.0.1 [skin_7]; 10x Genomics). | Genome_build: GrCh38 | Supplementary_files_format_and_content: tsv files contain lists of genes and barcodes for each sample, mtx files count gene UMI counts for each sample | data_row_count=0 | description=Single-cell RNAseq data | extract_protocol_ch1=6mm tissue-biopsies were dissociated using MACS Miltenyi Whole Skin Dissociation Kit (Miltenyi) | libraries were prepared using Chromium Next GEM Single Cell 3´GEM, Library & Gel Bead Kit v3.1, Chromium Nexxt GEM Chip G Single Cell Kit and Single Index Kit T Set A (all 19x Genomics, Pleasanton, CA, USA) | geo_accession=GSM5494686 | instrument_model=Illumina HiSeq 4000 | last_update_date=Mar 16 2022 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=polyA RNA | organism_ch1=Homo sapiens | platform_id=GPL20301 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20521361 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11628958 | series_id=GSE181316 | source_name_ch1=keloid | status=Public on Mar 16 2022 | submission_date=Aug 02 2021 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494686/suppl/GSM5494686_keloid_3L_barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494686/suppl/GSM5494686_keloid_3L_features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494686/suppl/GSM5494686_keloid_3L_matrix.mtx.gz | taxid_ch1=9606 | title=keloid_3L | type=SRA",FALSE,FALSE,TRUE,TRUE
"GSE181316","GSM5494687","keloid_3R","keloid","Homo sapiens","site: earlobe - right | Sex: male | age: 34 | race: caucasian","RNA-Seq","","channel_count=1 | characteristics_ch1=site: earlobe - right | Sex: male | age: 34 | race: caucasian | contact_address=Lazarettgasse 14 | contact_city=Vienna | contact_country=Austria | contact_department=Orthopedic and Trauma Surgery | contact_email=martin.direder@meduniwien.ac.at | contact_institute=Medical University Vienna | contact_laboratory=Mildner | contact_name=Martin,,Direder | contact_state=Vienna | contact_zip/postal_code=1090 | data_processing=Raw sequencing data were demultiplexed, aligned to a reference genome and counted using Cell Ranger (version 3.0.2; except 5.0.1 [skin_7]; 10x Genomics). | Genome_build: GrCh38 | Supplementary_files_format_and_content: tsv files contain lists of genes and barcodes for each sample, mtx files count gene UMI counts for each sample | data_row_count=0 | description=Single-cell RNAseq data | extract_protocol_ch1=6mm tissue-biopsies were dissociated using MACS Miltenyi Whole Skin Dissociation Kit (Miltenyi) | libraries were prepared using Chromium Next GEM Single Cell 3´GEM, Library & Gel Bead Kit v3.1, Chromium Nexxt GEM Chip G Single Cell Kit and Single Index Kit T Set A (all 19x Genomics, Pleasanton, CA, USA) | geo_accession=GSM5494687 | instrument_model=Illumina HiSeq 4000 | last_update_date=Mar 16 2022 | library_selection=cDNA | library_source=transcriptomic | library_strategy=RNA-Seq | molecule_ch1=polyA RNA | organism_ch1=Homo sapiens | platform_id=GPL20301 | relation=BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20521362 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11628959 | series_id=GSE181316 | source_name_ch1=keloid | status=Public on Mar 16 2022 | submission_date=Aug 02 2021 | supplementary_file_1=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494687/suppl/GSM5494687_keloid_3R_barcodes.tsv.gz | supplementary_file_2=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494687/suppl/GSM5494687_keloid_3R_features.tsv.gz | supplementary_file_3=ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5494nnn/GSM5494687/suppl/GSM5494687_keloid_3R_matrix.mtx.gz | taxid_ch1=9606 | title=keloid_3R | type=SRA",FALSE,FALSE,TRUE,TRUE
